cet_cest_timestamp,AT_price_day_ahead,DE_LU_price_day_ahead,DK_1_price_day_ahead,DK_2_price_day_ahead
2015-01-01T00:00:00+0100,,,,
2015-01-01T01:00:00+0100,35.0,,,
2015-01-01T02:00:00+0100,45.0,,16.04,16.04
2015-01-01T03:00:00+0100,41.0,,14.6,14.6
2015-01-01T04:00:00+0100,38.0,,14.95,14.95
2015-01-01T05:00:00+0100,35.0,,14.5,14.5
2015-01-01T06:00:00+0100,35.0,,10.76,10.76
2015-01-01T07:00:00+0100,36.0,,12.01,12.01
2015-01-01T08:00:00+0100,36.0,,12.39,12.39
2015-01-01T09:00:00+0100,41.0,,14.04,14.04
2015-01-01T10:00:00+0100,45.0,,14.68,14.68
2015-01-01T11:00:00+0100,50.0,,16.08,16.08
2015-01-01T12:00:00+0100,51.0,,16.08,16.08
2015-01-01T13:00:00+0100,48.0,,16.05,25.42
2015-01-01T14:00:00+0100,47.0,,16.04,26.78
2015-01-01T15:00:00+0100,46.0,,16.1,27.51
2015-01-01T16:00:00+0100,51.0,,23.93,28.32
2015-01-01T17:00:00+0100,61.0,,26.9,28.36
2015-01-01T18:00:00+0100,58.0,,26.36,28.18
2015-01-01T19:00:00+0100,54.0,,23.98,27.81
2015-01-01T20:00:00+0100,44.0,,16.09,16.09
2015-01-01T21:00:00+0100,35.0,,14.08,14.08
2015-01-01T22:00:00+0100,33.0,,12.44,12.44
2015-01-01T23:00:00+0100,21.0,,0.04,0.04
2015-01-02T00:00:00+0100,15.0,,-12.11,-12.11
2015-01-02T01:00:00+0100,9.0,,-19.63,-19.63
2015-01-02T02:00:00+0100,5.0,,-19.37,-19.37
2015-01-02T03:00:00+0100,-5.0,,-31.41,-31.41
2015-01-02T04:00:00+0100,-4.0,,-31.41,-31.41
2015-01-02T05:00:00+0100,-4.0,,-13.48,-13.48
2015-01-02T06:00:00+0100,9.0,,0.08,0.08
2015-01-02T07:00:00+0100,26.0,,10.06,28.37
2015-01-02T08:00:00+0100,36.0,,14.25,28.37
2015-01-02T09:00:00+0100,42.0,,14.56,28.32
2015-01-02T10:00:00+0100,41.0,,14.64,28.3
2015-01-02T11:00:00+0100,45.0,,15.08,28.39
2015-01-02T12:00:00+0100,47.0,,15.41,28.3
2015-01-02T13:00:00+0100,46.0,,14.52,28.24
2015-01-02T14:00:00+0100,44.0,,14.7,28.12
2015-01-02T15:00:00+0100,44.0,,14.66,28.23
2015-01-02T16:00:00+0100,53.0,,16.09,28.59
2015-01-02T17:00:00+0100,65.0,,25.1,28.73
2015-01-02T18:00:00+0100,62.0,,25.06,28.48
2015-01-02T19:00:00+0100,52.0,,18.34,28.38
2015-01-02T20:00:00+0100,41.0,,14.26,15.0
2015-01-02T21:00:00+0100,30.0,,12.22,12.22
2015-01-02T22:00:00+0100,28.0,,8.0,10.4
2015-01-02T23:00:00+0100,21.0,,-0.33,-0.33
2015-01-03T00:00:00+0100,6.0,,-0.08,-0.08
2015-01-03T01:00:00+0100,0.0,,-0.07,-0.07
2015-01-03T02:00:00+0100,-2.0,,-5.03,-5.03
2015-01-03T03:00:00+0100,-1.0,,0.01,0.01
2015-01-03T04:00:00+0100,2.0,,-0.04,-0.04
2015-01-03T05:00:00+0100,4.0,,0.03,0.03
2015-01-03T06:00:00+0100,8.0,,-8.67,-8.67
2015-01-03T07:00:00+0100,15.0,,4.46,4.46
2015-01-03T08:00:00+0100,16.0,,9.9,9.9
2015-01-03T09:00:00+0100,19.0,,14.29,14.29
2015-01-03T10:00:00+0100,22.0,,16.73,16.73
2015-01-03T11:00:00+0100,24.0,,22.31,22.31
2015-01-03T12:00:00+0100,24.0,,23.03,23.03
2015-01-03T13:00:00+0100,24.0,,22.4,22.4
2015-01-03T14:00:00+0100,27.0,,27.07,27.81
2015-01-03T15:00:00+0100,29.0,,28.29,28.37
2015-01-03T16:00:00+0100,32.0,,28.6,29.23
2015-01-03T17:00:00+0100,40.0,,28.88,29.53
2015-01-03T18:00:00+0100,41.0,,28.78,29.75
2015-01-03T19:00:00+0100,37.0,,28.54,29.46
2015-01-03T20:00:00+0100,31.0,,28.34,28.69
2015-01-03T21:00:00+0100,27.0,,27.26,27.93
2015-01-03T22:00:00+0100,21.0,,27.7,27.7
2015-01-03T23:00:00+0100,14.0,,14.27,14.27
2015-01-04T00:00:00+0100,14.0,,9.32,9.32
